C1		バックグラウンド		理論プロファイル	
2θ(°)	強度(Counts)	2θ(°)	強度(Counts)	2θ(°)	強度(Counts)
0.422	1556706	0.422	1.786711E-05	0.422	1505203
0.424	1539866	0.424	1.786711E-05	0.424	1503558
0.426	1542784	0.426	1.786711E-05	0.426	1501904
0.428	1542184	0.428	1.786711E-05	0.428	1500240
0.43	1539891	0.43	1.786711E-05	0.43	1498566
0.432	1517715	0.432	1.786711E-05	0.432	1496882
0.434	1575337	0.434	1.786711E-05	0.434	1495188
0.436	1541896	0.436	1.786711E-05	0.436	1493483
0.438	1545629	0.438	1.786711E-05	0.438	1491768
0.44	1502341	0.44	1.786711E-05	0.44	1490042
0.442	1560611	0.442	1.786711E-05	0.442	1488305
0.444	1550229	0.444	1.786711E-05	0.444	1486558
0.446	1518973	0.446	1.786711E-05	0.446	1484799
0.448	1521205	0.448	1.786711E-05	0.448	1483029
0.45	1547748	0.45	1.786711E-05	0.45	1481247
0.452	1518080	0.452	1.786711E-05	0.452	1479454
0.454	1508301	0.454	1.786711E-05	0.454	1477649
0.456	1521914	0.456	1.786711E-05	0.456	1475832
0.458	1526490	0.458	1.786711E-05	0.458	1474003
0.46	1545163	0.46	1.786711E-05	0.46	1472161
0.462	1489857	0.462	1.786711E-05	0.462	1470307
0.464	1514177	0.464	1.786711E-05	0.464	1468440
0.466	1469166	0.466	1.786711E-05	0.466	1466561
0.468	1516105	0.468	1.786711E-05	0.468	1464668
0.47	1513349	0.47	1.786711E-05	0.47	1462762
0.472	1522216	0.472	1.786711E-05	0.472	1460842
0.474	1519497	0.474	1.786711E-05	0.474	1458908
0.476	1506408	0.476	1.786711E-05	0.476	1456961
0.478	1535572	0.478	1.786711E-05	0.478	1454999
0.48	1528558	0.48	1.786711E-05	0.48	1453023
0.482	1492866	0.482	1.786711E-05	0.482	1451032
0.484	1520432	0.484	1.786711E-05	0.484	1449027
0.486	1499847	0.486	1.786711E-05	0.486	1447006
0.488	1506074	0.488	1.786711E-05	0.488	1444970
0.49	1534101	0.49	1.786711E-05	0.49	1442919
0.492	1550347	0.492	1.786711E-05	0.492	1440851
0.494	1507789	0.494	1.786711E-05	0.494	1438768
0.496	1540419	0.496	1.786711E-05	0.496	1436668
0.498	1509208	0.498	1.786711E-05	0.498	1434551
0.5	1574662	0.5	1.786711E-05	0.5	1432418
0.502	1558359	0.502	1.786711E-05	0.502	1430267
0.504	1563727	0.504	1.786711E-05	0.504	1428099
0.506	1520925	0.506	1.786711E-05	0.506	1425913
0.508	1540224	0.508	1.786711E-05	0.508	1423709
0.51	1553984	0.51	1.786711E-05	0.51	1421486
0.512	1543550	0.512	1.786711E-05	0.512	1419245
0.514	1573428	0.514	1.786711E-05	0.514	1416985
0.516	1513381	0.516	1.786711E-05	0.516	1414706
0.518	1523394	0.518	1.786711E-05	0.518	1412406
0.52	1544926	0.52	1.786711E-05	0.52	1410087
0.522	1562865	0.522	1.786711E-05	0.522	1407747
0.524	1524912	0.524	1.786711E-05	0.524	1405387
0.526	1506226	0.526	1.786711E-05	0.526	1403006
0.528	1496976	0.528	1.786711E-05	0.528	1400603
0.53	1592600	0.53	1.786711E-05	0.53	1398178
0.532	1590001	0.532	1.786711E-05	0.532	1395730
0.534	1571175	0.534	1.786711E-05	0.534	1393261
0.536	1524121	0.536	1.786711E-05	0.536	1390768
0.538	1567946	0.538	1.786711E-05	0.538	1388251
0.54	1596916	0.54	1.786711E-05	0.54	1385711
0.542	1566530	0.542	1.786711E-05	0.542	1383146
0.544	1612077	0.544	1.786711E-05	0.544	1380556
0.546	1583853	0.546	1.786711E-05	0.546	1377941
0.548	1591471	0.548	1.786711E-05	0.548	1375300
0.55	1594895	0.55	1.786711E-05	0.55	1372633
0.552	1603700	0.552	1.786711E-05	0.552	1369939
0.554	1620208	0.554	1.786711E-05	0.554	1367218
0.556	1596948	0.556	1.786711E-05	0.556	1364469
0.558	1652925	0.558	1.786711E-05	0.558	1361691
0.56	1617935	0.56	1.786711E-05	0.56	1358885
0.562	1612374	0.562	1.786711E-05	0.562	1356048
0.564	1648164	0.564	1.786711E-05	0.564	1353182
0.566	1604556	0.566	1.786711E-05	0.566	1350285
0.568	1616174	0.568	1.786711E-05	0.568	1347357
0.57	1619063	0.57	1.786711E-05	0.57	1344396
