,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.376,1836065.6,,0.376,5735508,,0.376,420722.6,,0.376,1401190.8,,768143,351536.8,921240,3515164.8,2395331.2,2250685.8
0.38,1833306.2,,0.38,5925186,,0.38,424633.4,,0.38,1425791.9,,779936.6,355046.8,934064.4,3512124.2,2396536.5,2280297.2
0.384,1835024.2,,0.384,6115866,,0.384,430508.5,,0.384,1455625.2,,776025.8,358651.1,923081.8,3483562.5,2400006.2,2319398.5
0.388,1829690.5,,0.388,6091726,,0.388,432338.6,,0.388,1474911.6,,792548.5,362007.2,944205.6,3445464.5,2403813.5,2353233.8
0.392,1824578.6,,0.392,6139985.5,,0.392,430887,,0.392,1495562.9,,791064.1,362462.2,948680.9,3434662.8,2406730.5,2392457.5
0.396,1833948,,0.396,6243195,,0.396,430419.7,,0.396,1513358.5,,812166.8,362604.4,947630,3389778.2,2404858,2428873.5
0.4,1835781.2,,0.4,6389769.5,,0.4,435679.5,,0.4,1545256.8,,820362.6,366110.6,936232.8,3362296.2,2405394,2471326.2
0.404,1834784.2,,0.404,6393798,,0.404,435993.5,,0.404,1580377.5,,807481.1,367668.2,952994.4,3300386.8,2402983.5,2505709
0.408,1823970.8,,0.408,6467826,,0.408,438327.9,,0.408,1603044.9,,823965.7,370141.8,958663.4,3245951.2,2414515,2515236
0.412,1826432,,0.412,6633740,,0.412,442558,,0.412,1640761.1,,841620.7,371024.5,967645.8,3190181.2,2401202,2552788.2
0.416,1822767.6,,0.416,6717756,,0.416,437166,,0.416,1655817.5,,834178.8,371275.3,959817.9,3123431,2399841.5,2579093.8
0.42,1821151,,0.42,6726241,,0.42,439703.4,,0.42,1694353.1,,841492.8,372959.5,963090.1,3054819.8,2411363.2,2603354.5
0.424,1827862.5,,0.424,6798651.5,,0.424,440593.6,,0.424,1713647.9,,842745.6,373735.2,954030.6,2975205.8,2391596,2630396.8
0.428,1817329.1,,0.428,6737763.5,,0.428,440776.5,,0.428,1739931.1,,857928.8,374172.1,958720.5,2870806.5,2383199.2,2645501.5
0.432,1812164.5,,0.432,6848362,,0.432,440208.8,,0.432,1765368.5,,866420.6,374150.1,962812.1,2755633,2408593.2,2677432.8
0.436,1816307.8,,0.436,6971547.5,,0.436,441498.6,,0.436,1785248,,860753.8,372604.7,959470.1,2646705.8,2406700.8,2692604.2
0.44,1827075.9,,0.44,7187391,,0.44,445090.1,,0.44,1818017.4,,857808.2,373342.6,958446.7,2493399.5,2402163.2,2700074.8
0.444,1818582,,0.444,6954107.5,,0.444,447943.6,,0.444,1831607.2,,896381.9,372153.9,952364.3,2329928.8,2389743.8,2705628.5
0.448,1842380.6,,0.448,7164043.5,,0.448,451858.6,,0.448,1848060.1,,912483.9,374978.4,972815.8,2141089.2,2384883.5,2720072.5
0.452,1851364,,0.452,7241871,,0.452,450339.3,,0.452,1869529.8,,902341.7,374302.4,968034.9,1915535.9,2388549,2732383.2
0.456,1866005.9,,0.456,7306913,,0.456,451245.4,,0.456,1879122.1,,918646.6,374361.9,979376,1660392.1,2392346.5,2720164.5
0.46,1878389.5,,0.46,7329446,,0.46,453088.2,,0.46,1904058.4,,920692.3,375556.2,983430.6,1387285.8,2374772,2720506
0.464,1893010.1,,0.464,7529352.5,,0.464,452004.5,,0.464,1911914.8,,923362.9,372749.1,997794.3,1107444.8,2385630,2735246.2
0.468,1906471,,0.468,7579751.5,,0.468,448402.4,,0.468,1910002.2,,921211.4,374263.5,1003313.2,849200.1,2384908.8,2716066.5
0.472,1914701.8,,0.472,7502780,,0.472,447498.5,,0.472,1921359.2,,952546.2,375476.3,1028594.1,620491.9,2373621.8,2725518.5
0.476,1926207.8,,0.476,7677106,,0.476,446258.3,,0.476,1939595.8,,928657.6,378396.7,1032162.3,439325.9,2372818.2,2717737
0.48,1933310.4,,0.48,7814684,,0.48,449956.6,,0.48,1931998.2,,941187.1,378052.9,1019134.9,335922.4,2363348.2,2700350.5
0.484,1939030,,0.484,7733266.5,,0.484,452265.6,,0.484,1947671,,960368.8,378261.4,1017668.5,250247.4,2353133.2,2689769.8
0.488,1954526.1,,0.488,7861774.5,,0.488,453251,,0.488,1958923.2,,959854.9,377160.2,1039457.3,196759.6,2360335.2,2675507.5
0.492,1971847,,0.492,8068360.5,,0.492,452232.8,,0.492,1967574.8,,996595.4,376504.5,1049091,160896.3,2359162.8,2656930.5
0.496,1981522,,0.496,7838438,,0.496,453046.9,,0.496,1977508.6,,972442.6,376591.2,1052827.2,133354.3,2345906,2647677.5
0.5,2000014.2,,0.5,8093450.5,,0.5,457500.1,,0.5,1985801.6,,984709.8,377180.7,1054928,112402.7,2348888.5,2655906
0.504,2001478.6,,0.504,8147304.5,,0.504,456160.5,,0.504,2004250.6,,968008.4,377836.8,1053181.5,95940.5,2336511.2,2611949.8
0.508,2010286.5,,0.508,8257663,,0.508,458238,,0.508,2005399.9,,997216,376920.6,1070839.6,83498.4,2333578.2,2595122.8
0.512,2011176.8,,0.512,8376924,,0.512,464270.7,,0.512,2020941.5,,1002894.5,377932.8,1102040.1,71984.9,2326839.5,2582973.8
0.516,2026741.5,,0.516,8312362,,0.516,463572.9,,0.516,2010630.1,,985053.4,377093.2,1085800.8,62766.1,2316621.2,2548889.2
0.52,2042410,,0.52,8345259,,0.52,463861.5,,0.52,2010961,,1019030.2,376404.2,1091077.5,55690,2318218.8,2532825.2
0.524,2052032,,0.524,8500872,,0.524,464962.1,,0.524,2015603.4,,1000341.2,374603.4,1094624.5,48691.3,2302181.2,2524436
0.528,2057569.9,,0.528,8654939,,0.528,467412.8,,0.528,2020197.1,,1015349.9,371511,1102160.6,42163.4,2308685.5,2508470.5
