,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.972,159589.8,,0.972,675724.6,,0.972,28095.4,,0.972,102455.4,,65398.7,20347.2,76317.8,105.8,92365.1,87974
0.976,155234.2,,0.976,657631.9,,0.976,26917.9,,0.976,98467.2,,63305,19867.4,72496.9,105,88531.3,85326.7
0.98,149081.2,,0.98,623645.6,,0.98,25706.2,,0.98,93820.9,,60285.6,19363.2,70376.1,103.3,84557.4,82361.3
0.984,143939.6,,0.984,588315.6,,0.984,24857.9,,0.984,89949.3,,56878.4,18502.8,65498.7,97.5,81281.1,79416.7
0.988,138726.6,,0.988,557425.9,,0.988,24165.5,,0.988,86359.8,,54028.4,17520.6,63850.6,108.3,77684.7,76204.2
0.992,133989.8,,0.992,552682.1,,0.992,22912.9,,0.992,83492.8,,52129.7,16935.1,60528.8,92.5,73868.5,72897.2
0.996,127920.1,,0.996,535805.2,,0.996,21855.4,,0.996,79079,,49269.7,16260.3,58911.8,100,71358.6,68906.7
1,123147.6,,1,487856.8,,1,21384.9,,1,76183.8,,47578,15517.4,56720.5,105,68130.1,66180.5
1.004,117056.8,,1.004,485567.9,,1.004,20958.3,,1.004,73169.7,,46328.7,14729.2,54591.1,75,65349.7,63277.3
1.008,114134.3,,1.008,467570.3,,1.008,20349.9,,1.008,70668.6,,45392.3,14202.3,54234.9,87.5,62521.2,60919.2
1.012,109998.6,,1.012,449633.1,,1.012,20026.2,,1.012,68689.7,,44182.4,13680.8,51943.7,100.8,60427.4,58078.7
1.016,106857.4,,1.016,455145.6,,1.016,19565.1,,1.016,66042.7,,43474.5,13363.7,51730.8,88.3,59246.8,56119.2
1.02,104073.8,,1.02,438472.8,,1.02,19476.3,,1.02,65036.2,,42768.2,13127.4,50351.6,89.2,57716.4,54462.2
1.024,102098.8,,1.024,427172.9,,1.024,18630.5,,1.024,63493.5,,41237,12746.5,48725.3,92.5,56197.7,52867.2
1.028,99988,,1.028,409009.3,,1.028,18256,,1.028,61737.4,,39845.6,12761.4,47779.1,87.5,54426.6,51977.6
1.032,98245,,1.032,408764.1,,1.032,17627.4,,1.032,59863.5,,39393.1,12613.2,46106.6,96.7,53630.1,50441
1.036,95839.3,,1.036,382567.6,,1.036,16947.6,,1.036,58278.5,,38362.9,12333.2,44191.3,76.7,51689.1,49597.6
1.04,94098,,1.04,373439.3,,1.04,16267.3,,1.04,56038.5,,35607.6,12090.5,42298,67.5,50502.3,47583.8
1.044,91149.6,,1.044,369968.3,,1.044,15419.2,,1.044,53701.1,,34255.7,11693.4,39948.3,95,47774.7,46434.4
1.048,87401.8,,1.048,352826.1,,1.048,14631.4,,1.048,51199.5,,33415.2,11293.2,38201.3,74.2,45628.2,44151.1
1.052,84113.2,,1.052,327281.9,,1.052,14196,,1.052,49119.7,,30111.8,10909.5,36748.8,90,42882.2,42371.4
1.056,80328.8,,1.056,327512.7,,1.056,13462.4,,1.056,46600.1,,30358.8,10280.4,34429.4,60,41132.9,40151.5
1.06,76487,,1.06,316516.1,,1.06,13150.7,,1.06,44420.8,,28008.9,9934.8,32857.7,75.8,39792.3,38451
1.064,72683.9,,1.064,303780.2,,1.064,12751.2,,1.064,42105,,27191.2,9280.8,31783.2,69.2,37371.3,36355.6
1.068,69602,,1.068,291867,,1.068,12453.6,,1.068,39864.7,,26363.7,8992.8,30771.2,66.7,35731,35111.7
1.072,66897.9,,1.072,275342.6,,1.072,12268.8,,1.072,39087.7,,25434,8363.4,30980.2,65.8,34898.5,33257.4
1.076,65218.6,,1.076,276529.4,,1.076,12402,,1.076,38199.5,,25211.4,8117.7,30569.6,70,34298.6,32317.2
1.08,63606.4,,1.08,274728.2,,1.08,12505.9,,1.08,37313.5,,25366.5,7879.7,29681.3,61.7,33022.2,31821.2
1.084,62860.2,,1.084,271428.6,,1.084,12061.3,,1.084,36930.2,,24767.7,7635.8,30630.8,56.7,32976.6,30723.9
1.088,62000.8,,1.088,268392.3,,1.088,11999.4,,1.088,35965.2,,24502.4,7640.9,29519.5,67.5,32801.8,30161.1
1.092,61718.7,,1.092,262234.1,,1.092,11655.1,,1.092,35754.5,,24661.5,7621.5,28524.6,63.3,32032.5,30089.2
1.096,60872.1,,1.096,262350.4,,1.096,11340.2,,1.096,35214.1,,25352,7780.6,28170.5,54.2,31553.8,29419.2
1.1,59619.4,,1.1,253129.5,,1.1,10682.2,,1.1,34460.5,,22605.3,7501,26791.4,55.8,30575.5,28872.1
1.104,58624.3,,1.104,247872.9,,1.104,10449.8,,1.104,32882.2,,22466.8,7572.4,25949.6,54.2,29505.8,28472.5
1.108,57093.7,,1.108,232035.3,,1.108,9763.2,,1.108,32113.4,,20718.8,7390.3,24100.4,55.8,28121.1,27355.9
1.112,55265.1,,1.112,226455.2,,1.112,9188.8,,1.112,30679.8,,20427.3,7147,22418.8,50,27046.7,26379.8
1.116,52669.5,,1.116,209589.3,,1.116,8712,,1.116,28468.5,,18536.2,7053,20784.8,55,25347.9,25453.7
1.12,50877.7,,1.12,196328.7,,1.12,8213.5,,1.12,26737.8,,17518.9,6857.5,19413.1,56.7,23949,23869.9
1.124,47617.9,,1.124,183163.7,,1.124,7870.5,,1.124,25337.7,,16528.3,6452.3,18569.9,59.2,22730.4,22598.2
1.128,45351.7,,1.128,177120,,1.128,7752.7,,1.128,23826.1,,15577.4,6232.8,18119,62.5,21587.4,21595.5
1.132,42833.1,,1.132,168040.8,,1.132,7524,,1.132,22644.7,,14719.8,5623.8,17104,50.8,20549.9,20451.7
1.136,40862.4,,1.136,165945.1,,1.136,7484.4,,1.136,21511.3,,14177.8,5269.1,16849.4,47.5,19613.7,19233.5
1.14,39014.5,,1.14,160639.2,,1.14,7585,,1.14,20794.6,,13509.8,4942.3,17000.7,50,19334.3,18633.2
1.144,38163.1,,1.144,157204.5,,1.144,7480.1,,1.144,20465.6,,13670.9,4704.1,16883.3,45,18987.5,17918.1
1.148,37316.4,,1.148,155390.6,,1.148,7396.3,,1.148,19901.3,,13277.9,4605,17091.2,50.8,18806.9,17573.5
1.152,36923.3,,1.152,161263.9,,1.152,7688.2,,1.152,20075.4,,13664.6,4525.8,17112.5,46.7,18629.2,17389.6
1.156,37119.6,,1.156,159992.8,,1.156,7581.6,,1.156,19944,,13355.1,4345.1,17189.7,46.7,18771.1,17500.6
1.16,37101.4,,1.16,164209.8,,1.16,7300.7,,1.16,19766,,15018.5,4462.8,17086.2,50.8,18599.7,17457.8
1.164,36953.7,,1.164,158471.5,,1.164,7191.7,,1.164,19593.5,,13895.2,4486.3,16546.6,59.2,18601.5,17435.8
1.168,37095.2,,1.168,152719.3,,1.168,6749.4,,1.168,19494.7,,13406.7,4440,15552.8,55.8,18396.3,17141.2
1.172,36855.1,,1.172,150073.8,,1.172,6426.1,,1.172,19126.2,,12756.1,4544.4,14800.3,41.7,17400.6,17069
1.176,35832.8,,1.176,146017.8,,1.176,5975.4,,1.176,18199.6,,11988.1,4556.1,13856.7,44.2,16823.2,16623
1.18,34836.5,,1.18,135456.4,,1.18,5605.3,,1.18,17423.2,,11065.1,4451.9,12803.4,50,15841.7,16119.8
1.184,33138.2,,1.184,124235.4,,1.184,5363.4,,1.184,16129.2,,10981.9,4523.3,11948.9,45.8,15063.3,15170.8
1.188,31672.4,,1.188,114656.5,,1.188,4965.9,,1.188,15203.2,,10333.7,4428.2,11573,39.2,14022.8,14384.6
1.192,29548.4,,1.192,107647.1,,1.192,4689.8,,1.192,13842.2,,8990,4176.8,10243.9,49.2,13068.5,13365
1.196,27373.2,,1.196,98960,,1.196,4465.3,,1.196,13014.9,,7557.8,4069.3,9950.3,40.8,12345.8,12776
1.2,26003,,1.2,92847.5,,1.2,4335.7,,1.2,12243.2,,7583.6,3644.3,9245,33.3,11622.3,11708.8
1.204,24301,,1.204,89917,,1.204,4456.8,,1.204,11034.9,,7262.3,3433.7,9151.7,37.5,11104.8,11022.4
1.208,22963.2,,1.208,87975.6,,1.208,4402.1,,1.208,10832.2,,7024.6,3155.9,8769.2,40.8,10605,10711
1.212,21766.7,,1.212,87840,,1.212,4360.1,,1.212,10392.1,,6678.7,2933.8,8837.3,37.5,10489,10185.2
1.216,21513.8,,1.216,88041.6,,1.216,4530.8,,1.216,10329.9,,7388.9,2701.6,9350.7,35,10322.8,9874.7
1.22,21303.2,,1.22,90150.1,,1.22,4685.6,,1.22,10270.4,,7075.8,2504.7,9482.6,43.3,10484.5,9807.5
1.224,21311.9,,1.224,91954.9,,1.224,4633.5,,1.224,10363.8,,7151.7,2469.6,9674.4,36.7,10632.7,9919.7
1.228,21733.4,,1.228,93400.5,,1.228,4734.4,,1.228,10390.2,,7540.6,2316.3,9737.8,32.5,10833.7,10108.7
1.232,22129.2,,1.232,95973.3,,1.232,4687.3,,1.232,10664.5,,7565.9,2445.2,9737.6,35,10858.6,10209.8
1.236,22671.8,,1.236,93957.8,,1.236,4473.7,,1.236,10431,,7566.5,2490.5,9605.5,27.5,10897.6,10465.8
1.24,22759.6,,1.24,92451.1,,1.24,4284.5,,1.24,10668.6,,8210.5,2638.7,9041.6,38.3,10800.8,10350.3
1.244,22574.9,,1.244,87747.6,,1.244,3927.4,,1.244,10288.3,,7786.9,2676.5,8596.1,37.5,10504.8,10261.7
1.248,22379.6,,1.248,84318.6,,1.248,3700.6,,1.248,9886.6,,7414.1,2849.1,7561.9,28.3,10063.3,10078.5
1.252,21653.6,,1.252,77346.3,,1.252,3379.9,,1.252,9494,,6543.4,2730.1,7443.9,34.2,9376.4,9568.9
1.256,20401.5,,1.256,72305,,1.256,3044.4,,1.256,8829.9,,6543.4,2828.1,6425.5,25.8,8755.3,9057.4
1.26,19385.8,,1.26,66165.5,,1.26,2811.3,,1.26,8267.1,,5674.8,2795.4,5868.1,38.3,8191.3,8586.4
1.264,17863,,1.264,58704.9,,1.264,2648,,1.264,7525,,4773.2,2694.9,5337.3,34.2,7443.5,7985.5
1.268,16603.8,,1.268,53855.7,,1.268,2418.4,,1.268,6709.1,,4630,2501.4,4823.6,28.3,6744.4,7288
1.272,14944.7,,1.272,50338.6,,1.272,2483.8,,1.272,6128.3,,4218.3,2295.3,4680.6,34.2,6185.5,6741
1.276,13552.4,,1.276,47332.9,,1.276,2359.8,,1.276,5765.4,,3831.7,2201.6,4495.7,26.7,5845.5,6257.2
1.28,12369.1,,1.28,46415.3,,1.28,2395,,1.28,5309.5,,3596.4,1971.5,4617.6,31.7,5735.1,5867.6
1.284,11976.8,,1.284,45417.1,,1.284,2560.9,,1.284,5163.7,,3286,1752.3,4638.5,33.3,5527.7,5531.9
1.288,11501.3,,1.288,47119,,1.288,2601,,1.288,4907,,3344.7,1610.1,4950,35.8,5574.1,5454.4
1.292,11563.4,,1.292,49487.7,,1.292,2657.2,,1.292,4905.2,,3327.9,1491.4,5295.2,30.8,5622.1,5503.3
1.296,11910.1,,1.296,50811.7,,1.296,2865.8,,1.296,4864.9,,3671.9,1386.1,5194.2,35,5810.2,5568.2
1.3,12230.7,,1.3,53452.8,,1.3,2905.3,,1.3,5121.6,,3697.3,1239.9,5518.4,25,6016.7,5843.8
1.304,12774.3,,1.304,54594.5,,1.304,2859.2,,1.304,5278.4,,4411.4,1208.2,5552,30,6348.4,5797.5
1.308,13333.8,,1.308,56081.6,,1.308,2893.5,,1.308,5371.9,,4327.4,1366.1,5425.8,30,6367.8,6053
1.312,13609.5,,1.312,56212.9,,1.312,2730.1,,1.312,5535.3,,4285.2,1315.1,5387.9,32.5,6460.6,6396.5
1.316,13751.8,,1.316,54331,,1.316,2527.4,,1.316,5540.4,,4462,1397.8,4848.8,24.2,6492.7,6148.3
1.32,13746.1,,1.32,51285.7,,1.32,2393.3,,1.32,5569,,4083.7,1451.3,4411.5,28.3,6172,6187.2
1.324,13458.5,,1.324,47920,,1.324,2148,,1.324,5137.7,,4058.5,1598.4,3982.8,22.5,5796.6,6046.3
1.328,13009.5,,1.328,43518.4,,1.328,1958.9,,1.328,4977.7,,3781.1,1682,3924.1,28.3,5354.1,5685.2
1.332,12491.3,,1.332,40274.4,,1.332,1687.1,,1.332,4517.4,,3193.6,1702.1,3210.4,22.5,4876.7,5405.4
1.336,11318,,1.336,35066,,1.336,1473,,1.336,4152.5,,3160.2,1680.4,2707.5,20.8,4356,4916.2
1.34,10434.2,,1.34,30890.2,,1.34,1345.2,,1.34,3751,,2506.3,1643.6,2259.4,33.3,3899.6,4500.7
1.344,9232.1,,1.344,27491.8,,1.344,1273.3,,1.344,3236.5,,2280.2,1641.1,2205,29.2,3653.6,3996.3
1.348,8069.4,,1.348,24660.6,,1.348,1277.5,,1.348,2873.4,,1736.4,1577.5,2054.3,17.5,3242.4,3615.9
1.352,7194.2,,1.352,22624.1,,1.352,1318.4,,1.352,2579.3,,1736.4,1437.9,1937.1,30,2943,3239
1.356,6553.6,,1.356,22525.5,,1.356,1361.9,,1.356,2272.7,,1285,1292.5,2242.6,21.7,2900.2,3141.7
1.36,5948.4,,1.36,22117.3,,1.36,1423.7,,1.36,2180.7,,1468.9,1092.9,2150.5,26.7,2866.7,2906.1
1.364,5773.9,,1.364,24642,,1.364,1499,,1.364,2057.7,,1226.6,927.5,2288.7,25,2873.4,2936.3
1.368,5904.6,,1.368,25439.9,,1.368,1603.5,,1.368,2052.6,,1385.3,824.9,2573.3,17.5,3144.2,3048.6
1.372,6048.1,,1.372,27050.1,,1.372,1684.5,,1.372,2196.6,,1427.1,756.4,2824.8,22.5,3295.2,3125.8
1.376,6589,,1.376,29992.4,,1.376,1748.1,,1.376,2279.5,,1795,583.7,3017.6,30,3396.8,3228.1
1.38,6971,,1.38,30114.1,,1.38,1727.2,,1.38,2408.4,,2112.9,623.7,3017.5,19.2,3505,3509.2
1.384,7410.8,,1.384,31680.8,,1.384,1732.2,,1.384,2612.8,,2020.8,613.7,3038.6,24.2,3734.2,3551.1
1.388,7913.4,,1.388,31827.2,,1.388,1718,,1.388,2784.5,,2238.5,655.4,2979.8,23.3,3737.6,3664.5
1.392,8106.5,,1.392,30791.8,,1.392,1516.5,,1.392,2782,,2062.6,683.8,2669.7,26.7,3819,3779.5
1.396,8282.9,,1.396,29880.5,,1.396,1431.2,,1.396,2720,,2188.1,708.8,2569.2,19.2,3666.2,3646.9
1.4,8088.9,,1.4,26996.6,,1.4,1266.6,,1.4,2648.8,,1945.5,824.9,2188.2,23.3,3564.6,3577.2
1.404,7837.3,,1.404,25241.2,,1.404,1067,,1.404,2489.7,,2079.4,902.5,1627.7,26.7,3316.2,3476.4
1.408,7532.5,,1.408,21525.3,,1.408,911.7,,1.408,2322.2,,1845.1,967.6,1406.2,23.3,2966.4,3157.7
1.412,6762.3,,1.412,18339,,1.412,760.6,,1.412,2071,,1627.7,1030.2,1285,24.2,2648,2803
1.416,6141.6,,1.416,16139.4,,1.416,690.5,,1.416,1828.4,,1234.9,982.7,1005.2,20,2252.7,2537.4
1.42,5320.4,,1.42,13800.9,,1.42,642.1,,1.42,1686.2,,1151.4,1017.7,892.5,15,2050.9,2184
1.424,4544.3,,1.424,11611.6,,1.424,597,,1.424,1432.1,,950.9,960.9,771.4,15.8,1728.9,1939.7
1.428,4008,,1.428,10128.9,,1.428,617.1,,1.428,1196.5,,617.1,919.2,725.5,19.2,1539.9,1774
1.432,3380.8,,1.432,9806.1,,1.432,666.3,,1.432,1007.7,,633.7,827.4,754.8,16.7,1498.1,1601.8
1.436,2934.6,,1.436,9431.3,,1.436,741.4,,1.436,906.7,,416.9,762.3,738.1,15,1452.2,1493.1
1.44,2770.4,,1.44,10205.8,,1.44,787.3,,1.44,850.7,,575.3,651.3,1005.2,13.3,1536.6,1489.8
1.444,2663.9,,1.444,11799.5,,1.444,908.3,,1.444,804,,542,547.8,1122.1,16.7,1489.8,1520.7
1.448,2865.8,,1.448,13003.8,,1.448,959.3,,1.448,859.1,,658.8,472.7,1255.8,24.2,1687.9,1582.6
1.452,3150.9,,1.452,14616.1,,1.452,1062,,1.452,913.4,,617.1,362.6,1435.4,18.3,1801.6,1708.8
1.456,3690.6,,1.456,15964.9,,1.456,1103.7,,1.456,1040.3,,792.3,349.3,1473.1,20,2053.5,1957.2
1.46,3942.4,,1.46,16896.4,,1.46,1057.8,,1.46,1089.5,,950.9,264.2,1535.7,18.3,2128.8,1985.7
1.464,4395.4,,1.464,17455.3,,1.464,1028.6,,1.464,1149.7,,950.9,257.6,1485.6,19.2,2225.9,2088.6
1.468,4651.2,,1.468,17112.7,,1.468,976.8,,1.468,1263.3,,976,244.2,1577.5,24.2,2381.6,2119.6
1.472,4921.2,,1.472,17458.2,,1.472,814.8,,1.472,1279.2,,1184.8,326.8,1360.2,23.3,2323,2122.9
1.476,5077,,1.476,16405.9,,1.476,778.1,,1.476,1304.2,,1143,334.3,1222.4,14.2,2287.8,2158.1
1.48,5001.3,,1.48,14701.3,,1.48,611.2,,1.48,1281.7,,1151.3,400.2,951,20,2076.9,2124.6
1.484,4770.6,,1.484,12927.2,,1.484,524.4,,1.484,1264.1,,959.3,433.5,809,15.8,1963.9,1957.3
1.488,4388.7,,1.488,11381.1,,1.488,433.5,,1.488,1123.8,,859.1,537.8,646.3,17.5,1712.2,1774
1.492,3850.9,,1.492,8871.4,,1.492,366.8,,1.492,996.8,,667.1,578.7,521.1,7.5,1498.1,1645.2
1.496,3350.6,,1.496,7185.6,,1.496,311.8,,1.496,875.8,,708.8,622.1,304.3,23.3,1302.6,1393.6
1.5,2795.4,,1.5,6079.3,,1.5,225.9,,1.5,729.7,,475.2,604.5,225.1,13.3,1081.2,1158.9
1.504,2332.2,,1.504,5042.5,,1.504,226.7,,1.504,614.6,,416.8,604.5,200,15,845.7,1028.6
1.508,1819.2,,1.508,4226.5,,1.508,287.6,,1.508,482.7,,216.7,582,208.4,15,763.9,846.6
1.512,1422.9,,1.512,3865,,1.512,295.9,,1.512,410.2,,216.7,557.8,233.4,25,680.5,748.1
1.516,1232.4,,1.516,3789.6,,1.516,373.5,,1.516,334.3,,225.1,506.9,329.3,11.7,630.4,705.5
1.52,1085.4,,1.52,4579.7,,1.52,426.9,,1.52,303.4,,108.3,403.5,396,16.7,705.5,678
1.524,1150.5,,1.524,5413.2,,1.524,528.6,,1.524,269.2,,150,339.3,466.9,17.5,761.4,673
1.528,1301.7,,1.528,6433.7,,1.528,552,,1.528,320.1,,233.4,264.2,575.3,22.5,874.1,765.6
1.532,1478.1,,1.532,7016.7,,1.532,599.5,,1.532,401.8,,266.7,228.4,558.7,12.5,1077.9,880.8
1.536,1771.5,,1.536,7778.2,,1.536,617.1,,1.536,401.8,,233.4,170.9,629.6,21.7,1121.3,995.2
1.54,2171.5,,1.54,8879.4,,1.54,642.9,,1.54,446.9,,433.5,129.2,771.4,22.5,1282.5,1091.2
1.544,2430.2,,1.544,9542.6,,1.544,567,,1.544,543.6,,516.9,83.3,733.9,15.8,1392.8,1234.9
1.548,2685.7,,1.548,9661.1,,1.548,486.1,,1.548,568.7,,592,102.5,717.2,14.2,1405.3,1284.2
1.552,2844.1,,1.552,8829.2,,1.552,502.8,,1.552,587.9,,625.4,104.2,654.6,17.5,1480.6,1329.3
1.556,2980.7,,1.556,8489.4,,1.556,439.4,,1.556,607,,592,137.5,546.1,18.3,1320.1,1307.6
1.56,2908.6,,1.56,7913.9,,1.56,336.8,,1.56,637.1,,542,159.2,458.6,19.2,1378.6,1212.3
1.564,2782.1,,1.564,6611.3,,1.564,249.2,,1.564,607,,483.6,191.7,441.9,13.3,1188.1,1172.2
1.568,2641.2,,1.568,5143.8,,1.568,205,,1.568,574.5,,491.9,241.7,295.9,14.2,1089.5,996.8
1.572,2234.3,,1.572,4402.9,,1.572,157.5,,1.572,471.1,,316.8,310.9,229.2,15,982.7,915.9
1.576,1966.4,,1.576,3244,,1.576,119.2,,1.576,409.3,,441.9,353.5,112.5,24.2,806.5,758.1
1.58,1565.8,,1.58,2405.9,,1.58,89.2,,1.58,392.7,,341.8,328.4,87.5,15.8,645.4,637.1
1.584,1170.6,,1.584,1753.1,,1.584,95,,1.584,307.6,,266.7,376.8,79.2,8.3,509.4,486.1
1.588,896.6,,1.588,1268.3,,1.588,127.5,,1.588,213.4,,125,352.6,45.8,14.2,425.2,361.8
1.592,675.5,,1.592,1226.5,,1.592,126.7,,1.592,200.9,,125,372.6,58.3,14.2,334.3,300.1
1.596,480.2,,1.596,1193.2,,1.596,191.7,,1.596,123.3,,83.3,280.1,70.8,10,344.3,300.1
1.6,409.3,,1.6,1452.2,,1.6,225.1,,1.6,124.2,,83.3,308.4,158.4,18.3,325.9,286.8
1.604,459.4,,1.604,2121.3,,1.604,273.4,,1.604,112.5,,16.7,252.6,129.2,18.3,346,304.3
1.608,517.8,,1.608,2673.9,,1.608,321.8,,1.608,120.8,,58.3,178.4,229.2,11.7,404.3,365.1
1.612,666.3,,1.612,3512.4,,1.612,318.4,,1.612,144.2,,75,145.9,262.6,10.8,531.1,418.5
1.616,868.3,,1.616,3697.3,,1.616,359.3,,1.616,171.7,,83.3,115.8,308.4,15,588.7,498.6
1.62,1107.9,,1.62,4638.7,,1.62,356,,1.62,195.9,,133.4,79.2,258.4,14.2,728,593.7
1.624,1270.8,,1.624,4949.9,,1.624,336,,1.624,244.2,,150,53.3,300.1,14.2,794,678.8
1.628,1524.9,,1.628,4739.6,,1.628,282.6,,1.628,290.1,,175,49.2,383.5,13.3,844.9,676.3
1.632,1685.4,,1.632,4823.5,,1.632,270.1,,1.632,286.8,,191.7,39.2,283.4,15,899.2,735.6
1.636,1756.5,,1.636,4739.6,,1.636,238.4,,1.636,275.1,,183.4,53.3,245.9,9.2,906.7,751.4
1.64,1703.8,,1.64,3915.7,,1.64,166.7,,1.64,293.4,,325.1,65.8,212.5,9.2,812.3,716.4
1.644,1631,,1.644,3437.2,,1.644,158.4,,1.644,319.3,,291.8,97.5,220.9,25,797.3,677.1
1.648,1561.7,,1.648,3000.9,,1.648,106.7,,1.648,269.2,,258.4,124.2,137.5,15,730.5,617.1
1.652,1353.5,,1.652,2389.1,,1.652,73.3,,1.652,264.2,,200,160.9,137.5,14.2,599.5,543.6
1.656,1130.5,,1.656,1552.4,,1.656,42.5,,1.656,215,,175,155.9,41.7,20,521.1,415.2
1.66,957.6,,1.66,1226.6,,1.66,45,,1.66,190,,141.7,200,54.2,15,438.5,375.1
1.664,711.4,,1.664,875.8,,1.664,44.2,,1.664,145,,150,215.9,25,8.3,325.9,268.4
1.668,501.9,,1.668,558.7,,1.668,55,,1.668,116.7,,100,201.7,33.3,17.5,235.9,192.5
1.672,369.3,,1.672,550.3,,1.672,90,,1.672,100.8,,100,191.7,25,8.3,167.5,156.7
1.676,254.2,,1.676,608.7,,1.676,115,,1.676,62.5,,83.3,196.7,37.5,19.2,156.7,123.3
1.68,207.5,,1.68,550.3,,1.68,135.9,,1.68,66.7,,25,195,58.3,8.3,149.2,105.8
1.684,180,,1.684,775.6,,1.684,170,,1.684,70,,58.3,175,41.7,5.8,165.9,105.8
1.688,277.6,,1.688,1151.4,,1.688,189.2,,1.688,80.8,,41.7,147.5,79.2,11.7,195,152.5
1.692,388.5,,1.692,1552.4,,1.692,186.7,,1.692,79.2,,25,130.9,100,13.3,239.2,185.9
1.696,505.3,,1.696,2054.2,,1.696,175,,1.696,90,,8.3,98.3,70.8,7.5,321.8,230.1
1.7,630.4,,1.7,2062.6,,1.7,190,,1.7,114.2,,41.7,62.5,141.7,13.3,379.3,308.4
1.704,724.7,,1.704,2514.9,,1.704,188.4,,1.704,147.5,,66.7,64.2,133.4,15,456.9,380.1
1.708,907.5,,1.708,2447.8,,1.708,161.7,,1.708,148.4,,41.7,45,129.2,17.5,491.9,381
1.712,1005.2,,1.712,2556.7,,1.712,146.7,,1.712,164.2,,108.3,40,145.9,14.2,530.3,411
1.716,1043.6,,1.716,2029.3,,1.716,138.4,,1.716,161.7,,91.7,30.8,100,5,562,398.5
1.72,1052.8,,1.72,2305.4,,1.72,104.2,,1.72,152.5,,183.4,40,83.3,10.8,528.6,430.2
1.724,979.3,,1.724,1878.6,,1.724,71.7,,1.724,150.9,,91.7,48.3,108.3,10,544.5,416.8
1.728,946.8,,1.728,1644.4,,1.728,51.7,,1.728,150.9,,100,53.3,62.5,14.2,519.4,335.1
1.732,899.2,,1.732,1326.8,,1.732,36.7,,1.732,131.7,,133.4,77.5,79.2,14.2,421.8,344.3
1.736,773.1,,1.736,1260,,1.736,40,,1.736,119.2,,108.3,79.2,45.8,14.2,405.2,275.1
1.74,574.5,,1.74,925.9,,1.74,38.3,,1.74,121.7,,83.3,97.5,45.8,15,340.1,247.6
1.744,516.9,,1.744,558.7,,1.744,45,,1.744,101.7,,58.3,111.7,45.8,12.5,231.7,188.4
1.748,399.3,,1.748,483.6,,1.748,61.7,,1.748,75.8,,75,112.5,58.3,11.7,191.7,111.7
1.752,301.8,,1.752,450.2,,1.752,76.7,,1.752,70,,33.3,121.7,54.2,10.8,117.5,88.3
1.756,248.4,,1.756,466.9,,1.756,80,,1.756,70.8,,58.3,145,16.7,12.5,89.2,50
1.76,241.7,,1.76,542,,1.76,94.2,,1.76,58.3,,58.3,140.9,25,15,69.2,55.8
1.764,223.4,,1.764,692.2,,1.764,113.3,,1.764,68.3,,66.7,137.5,37.5,15,60.8,50.8
1.768,271.7,,1.768,934.2,,1.768,142.5,,1.768,76.7,,50,107.5,45.8,5.8,76.7,70.8
1.772,339.3,,1.772,884.1,,1.772,110,,1.772,66.7,,25,107.5,45.8,7.5,82.5,74.2
1.776,433.5,,1.776,1176.4,,1.776,125,,1.776,61.7,,50,90,37.5,14.2,135.9,112.5
1.78,516.1,,1.78,1226.5,,1.78,140,,1.78,94.2,,0,85.8,16.7,14.2,174.2,114.2
1.784,585.4,,1.784,1193.1,,1.784,102.5,,1.784,95,,16.7,64.2,37.5,8.3,235.9,170.9
1.788,631.2,,1.788,1452.2,,1.788,112.5,,1.788,101.7,,41.7,47.5,50,11.7,267.6,223.4
1.792,713,,1.792,1435.5,,1.792,85.8,,1.792,102.5,,66.7,53.3,20.8,12.5,323.4,225.9
1.796,728,,1.796,1468.8,,1.796,64.2,,1.796,117.5,,50,45.8,29.2,11.7,366.8,239.2
1.8,683.8,,1.8,1201.5,,1.8,70,,1.8,108.3,,50,46.7,41.7,10.8,327.6,236.7
1.804,693,,1.804,1193.1,,1.804,51.7,,1.804,89.2,,58.3,57.5,58.3,12.5,359.3,249.2
1.808,615.4,,1.808,1042.8,,1.808,50,,1.808,80.8,,66.7,60,25,16.7,336.8,236.7
1.812,578.7,,1.812,850.7,,1.812,37.5,,1.812,83.3,,75,70,70.8,12.5,329.3,210.9
1.816,499.4,,1.816,800.6,,1.816,38.3,,1.816,90,,50,70.8,37.5,8.3,322.6,215
1.82,436.9,,1.82,692.2,,1.82,39.2,,1.82,72.5,,25,63.3,33.3,11.7,248.4,180
1.824,349.3,,1.824,700.5,,1.824,69.2,,1.824,54.2,,16.7,79.2,20.8,14.2,212.5,140
1.828,314.3,,1.828,667.1,,1.828,75,,1.828,50.8,,25,75,41.7,6.7,184.2,115
1.832,268.4,,1.832,600.4,,1.832,87.5,,1.832,54.2,,33.3,80,45.8,9.2,150.9,92.5
1.836,267.6,,1.836,667.1,,1.836,103.3,,1.836,57.5,,41.7,95.8,16.7,5.8,88.3,73.3
1.84,300.9,,1.84,642.1,,1.84,105,,1.84,76.7,,75,77.5,12.5,7.5,59.2,50
1.844,345.1,,1.844,767.3,,1.844,112.5,,1.844,68.3,,41.7,80.8,29.2,10,57.5,44.2
1.848,373.5,,1.848,875.8,,1.848,118.3,,1.848,62.5,,58.3,79.2,33.3,4.2,43.3,50
1.852,428.5,,1.852,950.9,,1.852,119.2,,1.852,78.3,,25,70,25,10.8,60,57.5
