No.1		
X[mm]	Z[um]	
0.200200	-0.002008	
0.200900	-0.001004	
0.201600	-0.001004	
0.202300	-0.001004	
0.203000	-0.001004	
0.203700	-0.001506	
0.204400	-0.002008	
0.205100	-0.002008	
0.205800	-0.002008	
0.206500	-0.001004	
0.207200	-0.001004	
0.207900	-0.001004	
0.208600	-0.002510	
0.209300	-0.002510	
0.210000	-0.003514	
0.210700	-0.003514	
0.211400	-0.002510	
0.212100	-0.002008	
0.212800	-0.002510	
0.213500	-0.003514	
0.214200	-0.004016	
0.214900	-0.004016	
0.215600	-0.003514	
0.216300	-0.003012	
0.217000	-0.003012	
0.217700	-0.003012	
0.218400	-0.003514	
0.219100	-0.004016	
0.219800	-0.004016	
0.220500	-0.004016	
0.221200	-0.004016	
0.221900	-0.004016	
0.222600	-0.003514	
0.223300	-0.003514	
0.224000	-0.004016	
0.224700	-0.004518	
0.225400	-0.004518	
0.226100	-0.004016	
0.226800	-0.004016	
0.227500	-0.004016	
0.228200	-0.004016	
0.228900	-0.005020	
0.229600	-0.005522	
0.230300	-0.005522	
0.231000	-0.005522	
0.231700	-0.005020	
0.232400	-0.004518	
0.233100	-0.005020	
0.233800	-0.005522	
0.234500	-0.006024	
0.235200	-0.006526	
0.235900	-0.006526	
0.236600	-0.006024	
0.237300	-0.005522	
0.238000	-0.005020	
0.238700	-0.005020	
0.239400	-0.006024	
0.240100	-0.006526	
0.240800	-0.006526	
0.241500	-0.006526	
0.242200	-0.005522	
0.242900	-0.005020	
0.243600	-0.004518	
0.244300	-0.005020	
0.245000	-0.006024	
0.245700	-0.006526	
0.246400	-0.006526	
0.247100	-0.006526	
0.247800	-0.006024	
0.248500	-0.005522	
0.249200	-0.005522	
0.249900	-0.006024	
0.250600	-0.007028	
0.251300	-0.007530	
0.252000	-0.008032	
0.252700	-0.007530	
0.253400	-0.006526	
0.254100	-0.006526	
0.254800	-0.006024	
0.255500	-0.007028	
0.256200	-0.008032	
0.256900	-0.008032	
0.257600	-0.008032	
0.258300	-0.008032	
0.259000	-0.007530	
0.259700	-0.007028	
0.260400	-0.007530	
0.261100	-0.007530	
0.261800	-0.008534	
0.262500	-0.008534	
0.263200	-0.008534	
0.263900	-0.008534	
0.264600	-0.008032	
0.265300	-0.007530	
0.266000	-0.007530	
0.266700	-0.008032	
0.267400	-0.009036	
0.268100	-0.010040	
0.268800	-0.011044	
0.269500	-0.010542	
0.270200	-0.010040	
0.270900	-0.009538	
0.271600	-0.009538	
0.272300	-0.010040	
0.273000	-0.010542	
0.273700	-0.011546	
0.274400	-0.012048	
0.275100	-0.011546	
0.275800	-0.011044	
0.276500	-0.010040	
0.277200	-0.010040	
0.277900	-0.010542	
0.278600	-0.011044	
0.279300	-0.012048	
0.280000	-0.012550	
0.280700	-0.012048	
0.281400	-0.011044	
0.282100	-0.010542	
0.282800	-0.010040	
0.283500	-0.010040	
0.284200	-0.010542	
0.284900	-0.011044	
0.285600	-0.011546	
0.286300	-0.011546	
0.287000	-0.011044	
0.287700	-0.011044	
0.288400	-0.010542	
0.289100	-0.010542	
0.289800	-0.011044	
0.290500	-0.012048	
0.291200	-0.012550	
0.291900	-0.012048	
0.292600	-0.012048	
0.293300	-0.012048	
0.294000	-0.011546	
0.294700	-0.012048	
0.295400	-0.012048	
0.296100	-0.013052	
0.296800	-0.013052	
0.297500	-0.012550	
0.298200	-0.012550	
0.298900	-0.012550	
0.299600	-0.012550	
0.300300	-0.012550	
0.301000	-0.012550	
0.301700	-0.012048	
0.302400	-0.012048	
0.303100	-0.012048	
0.303800	-0.012048	
0.304500	-0.012550	
0.305200	-0.012550	
0.305900	-0.012550	
0.306600	-0.012048	
0.307300	-0.011546	
0.308000	-0.012048	
0.308700	-0.012550	
0.309400	-0.013052	
0.310100	-0.013052	
0.310800	-0.013554	
0.311500	-0.013554	
0.312200	-0.013554	
0.312900	-0.013052	
0.313600	-0.013052	
0.314300	-0.013052	
0.315000	-0.013554	
0.315700	-0.013554	
0.316400	-0.014056	
0.317100	-0.014056	
0.317800	-0.013554	
0.318500	-0.013052	
0.319200	-0.013554	
0.319900	-0.013554	
0.320600	-0.013554	
0.321300	-0.014056	
0.322000	-0.014056	
0.322700	-0.013554	
0.323400	-0.013554	
0.324100	-0.013554	
0.324800	-0.013554	
0.325500	-0.013554	
0.326200	-0.013554	
0.326900	-0.013554	
0.327600	-0.014056	
0.328300	-0.014056	
0.329000	-0.014558	
