0.2,16788.3
0.204,16123.3
0.208,15376.8
0.212,14764.4
0.216,14547.3
0.22,13762.6
0.224,14058.1
0.228,13334.3
0.232,13263.5
0.236,12294.4
0.24,11886.8
0.244,11528.1
0.248,11063.7
0.252,10816.3
0.256,10163
0.26,9484.9
0.264,9368.3
0.268,9028.3
0.272,8354.2
0.276,8627.8
0.28,8235.6
0.284,8398.5
0.288,9558.9
0.292,11882.9
0.296,18711.5
0.3,44426.8
0.304,126316.6
0.308,297288
0.312,531981.1
0.316,785091.8
0.32,951408.6
0.324,1027074.8
0.328,1025478.4
0.332,1043456.9
0.336,1048749.5
0.34,1050926.4
0.344,1064018.2
0.348,1071624.1
0.352,1076917.8
0.356,1083185.1
0.36,1084540.5
0.364,1105727.8
0.368,1111820.8
0.372,1107970.2
0.376,1119864.2
0.38,1139538.6
0.384,1136159.6
0.388,1132842
0.392,1145136.8
0.396,1147857
0.4,1158206.4
0.404,1164954.9
0.408,1160184.5
0.412,1168379.2
0.416,1162146.8
0.42,1165743.5
0.424,1168286.2
0.428,1161672.1
0.432,1156204
0.436,1161028.2
0.44,1165731.9
0.444,1154379.2
0.448,1155573.9
0.452,1151112.2
0.456,1137149.2
0.46,1135465
0.464,1140784
0.468,1131292
0.472,1130060.4
0.476,1119343
0.48,1113982.8
0.484,1107856
0.488,1079476.2
0.492,1101555.9
0.496,1092575.6
0.5,1086515.5
0.504,1068947.1
0.508,1065934
0.512,1055252.6
0.516,1045086.1
0.52,1034444.9
0.524,1031154.8
0.528,1008633.2
0.532,1014746.2
0.536,991272.1
0.54,977108.2
0.544,969339.5
0.548,957366.2
0.552,949883
0.556,928227.4
0.56,906133
0.564,902461.1
0.568,874919.8
0.572,861394.4
0.576,850503.7
0.58,828897.8
0.584,823238.3
0.588,796265.8
0.592,782620.9
0.596,746470.4
0.6,747925.2
0.604,731882.5
0.608,714501.4
0.612,694237.1
0.616,676970.1
0.62,656237.4
0.624,644994.7
0.628,618427.1
0.632,601217.2
0.636,583264
0.64,572870.2
0.644,553626.2
0.648,524475.7
0.652,514264.8
0.656,497598.3
0.66,477913.4
0.664,465257.1
0.668,437532.8
0.672,426386.3
0.676,404826.9
0.68,378005.5
0.684,363775
0.688,353891.8
0.692,336308.7
0.696,322154.2
0.7,306138.9
0.704,295002.7
0.708,276606.8
0.712,260985.2
0.716,243269.7
0.72,232684.2
0.724,221342.9
0.728,205636
0.732,193957.2
0.736,183464.1
0.74,169514.9
0.744,159410.2
0.748,146566.8
0.752,133588.3
0.756,121220.3
0.76,116844.2
0.764,108112.2
0.768,98483.4
0.772,90517.7
0.776,82818.8
0.78,74832.4
0.784,68798.6
0.788,62073.4
0.792,56916.5
0.796,51512.6
0.8,47395.1
0.804,42805.6
0.808,38769.4
0.812,34204.5
0.816,30899.1
0.82,28883.8
0.824,26111.2
0.828,24028.9
0.832,21817.2
0.836,19843.8
0.84,17899.5
