No.1		
X[mm]	Z[um]	
0.086700	16.482668	
0.087000	16.469616	
0.087300	16.458070	
0.087600	16.449536	
0.087900	16.440500	
0.088200	16.424436	
0.088500	16.421424	
0.088800	16.434476	
0.089100	16.442508	
0.089400	16.443010	
0.089700	16.443512	
0.090000	16.449034	
0.090300	16.458070	
0.090600	16.461584	
0.090900	16.459074	
0.091200	16.453050	
0.091500	16.451544	
0.091800	16.452548	
0.092100	16.444014	
0.092400	16.438492	
0.092700	16.435480	
0.093000	16.423934	
0.093300	16.413894	
0.093600	16.403854	
0.093900	16.390802	
0.094200	16.377750	
0.094500	16.366204	
0.094800	16.348132	
0.095100	16.323032	
0.095400	16.294920	
0.095700	16.270824	
0.096000	16.254760	
0.096300	16.245222	
0.096600	16.237190	
0.096900	16.225644	
0.097200	16.214098	
0.097500	16.206066	
0.097800	16.202552	
0.098100	16.198536	
0.098400	16.198536	
0.098700	16.200042	
0.099000	16.196528	
0.099300	16.218114	
0.099600	16.259780	
0.099900	16.265804	
0.100200	16.259278	
0.100500	16.246728	
0.100800	16.220624	
0.101100	16.182974	
0.101400	16.154360	
0.101700	16.146328	
0.102000	16.150344	
0.102300	16.144822	
0.102600	16.138798	
0.102900	16.140806	
0.103200	16.143818	
0.103500	16.139802	
0.103800	16.138296	
0.104100	16.141810	
0.104400	16.143316	
0.104700	16.144320	
0.105000	16.147834	
0.105300	16.149340	
0.105600	16.148336	
0.105900	16.147332	
0.106200	16.150846	
0.106500	16.155866	
0.106800	16.158878	
0.107100	16.157372	
0.107400	16.153356	
0.107700	16.147834	
0.108000	16.140304	
0.108300	16.132774	
0.108600	16.126750	
0.108900	16.121228	
0.109200	16.114702	
0.109500	16.103156	
0.109800	16.090104	
0.110100	16.076048	
0.110400	16.067514	
0.110700	16.059984	
0.111000	16.051952	
0.111300	16.044422	
0.111600	16.040908	
0.111900	16.040908	
0.112200	16.037896	
0.112500	16.038398	
0.112800	16.037896	
0.113100	16.035386	
0.113400	16.031370	
0.113700	16.032876	
0.114000	16.035888	
0.114300	16.036892	
0.114600	16.034382	
0.114900	16.029362	
0.115200	16.027856	
0.115500	16.023840	
0.115800	16.020326	
0.116100	16.018318	
0.116400	16.016812	
0.116700	16.009282	
0.117000	16.001250	
0.117300	16.005266	
0.117600	16.003760	
0.117900	15.988198	
0.118200	15.957074	
0.118500	15.918420	
0.118800	15.885288	
0.119100	15.872738	
0.119400	15.882778	
0.119700	15.895830	
0.120000	15.903360	
0.120300	15.908380	
0.120600	15.910890	
0.120900	15.910890	
0.121200	15.909384	
0.121500	15.906372	
0.121800	15.903862	
0.122100	15.891312	
0.122400	15.885790	
0.122700	15.884786	
0.123000	15.882276	
0.123300	15.873240	
0.123600	15.868220	
0.123900	15.862698	
0.124200	15.863200	
0.124500	15.866714	
